,vendor_key,vendor,type_key,type,model_key,model
,,,,,meilan-X,meizu_phone_meilan-x
,,,,,ONEPLUSA3000,oneplus_phone_a3000
,,,,,GearSport,samsung_watch_gearsport
,,,,,OnePlus_5,oneplus_phone_5
,,,,,OnePlus_6,oneplus_phone_6
,,,,,MEIZU-PRO-5,meizu_phone_pro5
,,,,,Amazfit_Sports_Watch,xiaomi_watch_amazfit-8E29
,,,,,GearFit2,samsung_wristband_gearfit2
,,,,,FIG-AL10,huawei_phone_changxiang7s
,,,,,MT7-TL10,huawei_phone_mate7
,,,,,vivo_V3,vivo_phone_v3
,,,,,MI4LTE,xiaomi_phone_4lte
,,,,,MI8ExplorerEdition-x,xiaomi_phone_8exploreredition
,,,,,MEIZU-16th-Plus,meizu_phone_16thplus
,,,,,MEIZU-MX5,meizu_phone_mx5
,,,,,RIO-AL00,huawei_phone_maimang4
,,,,,JKM-TL00,huawei_phone_changxiang9plus
,,,,,vivo_X7L,vivo_phone_x7l
,,,,,SLA-AL00,huawei_phone_changxiang7
,,,,,J85mAP,"apple_pad_4,7"
,,,,,Galaxy-Tab-S3,samsung_pad_tab-s3
,,,,,Galaxy-C7-Pro,samsung_phone_galaxy-c7pro
,,,,,"[TV] Samsung Q900 Series (65),SamsungE",samsung_tv_samsung_q900_series(65)
,,,,,N66mAP,apple_phone_6splus
,,,,,OPPO-A77,appo_phone_a77
,,,,,Galaxy-S6-edge,samsung_phone_galaxy-s6edge
,,,,,vivo-NEX-S,vivo_phone_nex-s
